strain,rmax,topt,ctmin,tmax,e,eh,q10,thermal_safety_margin,thermal_tolerance,breadth,skewness,evolution_history
WT_FLZ_2,10.095697067983943,36.915,-9.674999999999999,43.022999999999996,0.4400788824000749,3.764642482178188,NA,6.107999999999997,52.69799999999999,6.992000000000001,-3.324563599778113,Fluconazole evolved
40_F6,14.644445466408824,39.176,-Inf,42.843,0.3023771824362187,9.93045930354713,NA,3.6670000000000016,Inf,8.074999999999996,-9.62808212111091,40 evolved
35_G11,13.90698239234199,37.051,-19.056,44.084,0.34577692066828264,2.585684346231958,NA,7.033000000000001,63.14,8.443000000000001,-2.239907425563675,35 evolved
35_D8,14.117244841580444,37.512,-19.145,43.801,0.3643288936030985,2.5316827268441933,NA,6.2890000000000015,62.946,8.298000000000002,-2.1673538332410947,35 evolved
40_G5,12.936401163804291,38.230000000000004,-Inf,43.209,0.27914264889551155,8.047656265547674,NA,4.978999999999999,Inf,8.951,-7.768513616652163,40 evolved
35_E9,14.131324758800657,37.562,-19.562,43.268,0.36551903670930663,3.0173584995655203,NA,5.706000000000003,62.83,8.106999999999996,-2.6518394628562136,35 evolved
40_B6,12.97466198019757,39.249,-Inf,42.653,0.25988653416523355,11.391789415368194,NA,3.4039999999999964,Inf,8.982999999999997,-11.131902881202961,40 evolved
fRS585,14.099626904401624,37.722,-22.053,43.432,0.35323859042703815,2.688590926809128,NA,5.710000000000001,65.485,8.334000000000003,-2.33535233638209,fRS585
40_E9,12.567115252869161,38.268,-Inf,43.391000000000005,0.2680854181107609,7.089850550554571,NA,5.123000000000005,Inf,9.329999999999998,-6.82176513244381,40 evolved
WT_CASP_2,15.480409133039544,38.536,-20.044,43.467,0.3410438986140498,7.2406178132044134,NA,4.930999999999997,63.510999999999996,7.947999999999993,-6.899573914590364,Caspofungin evolved
40_G11,14.168716766995704,37.102000000000004,-13.655,45.596000000000004,0.42817685582887105,1.6991026455200924,NA,8.494,59.251000000000005,8.439000000000004,-1.2709257896912214,40 evolved
35_E11,14.139566555704276,38.262,-24.587,43.015,0.30892633933356406,9.08516846120194,NA,4.753,67.602,8.25,-8.776242121868377,35 evolved
40_D2,12.656558420262174,36.968,-Inf,44.43,0.2930094821036121,2.331782505684305,NA,7.461999999999996,Inf,9.350999999999999,-2.038773023580693,40 evolved
40_E11,14.187961419451034,37.506,-20.009,44.289,0.3881140956887491,2.1033367311934037,NA,6.783000000000001,64.298,8.600999999999996,-1.7152226355046545,40 evolved
35_D2,14.160685233726008,38.117000000000004,-Inf,42.869,0.3011748100301151,9.487249198259509,NA,4.751999999999995,Inf,8.324000000000002,-9.186074388229393,35 evolved
WT_FLZ_1,14.500528023376534,36.811,-15.336,43.786,0.3960580471387524,2.961887853696694,NA,6.975000000000001,59.122,7.986000000000001,-2.5658298065579417,Fluconazole evolved
40_G9,14.494567735856835,37.528,-15.629999999999999,44.998999999999995,0.4046834473952537,1.7620424470032043,NA,7.4709999999999965,60.62899999999999,8.394000000000002,-1.3573589996079507,40 evolved
35_B2,14.078524896555514,37.761,-20.637,43.339,0.38279973434275744,2.752257890089095,NA,5.577999999999996,63.976,8.104000000000003,-2.3694581557463374,35 evolved
40_C5,12.85650925152645,39.056,-Inf,42.909,0.2696398919822137,9.457448497620762,NA,3.8530000000000015,Inf,8.865000000000002,-9.187808605638548,40 evolved
35_B8,13.90541919303642,37.025999999999996,-19.372,44.039,0.3447774321718959,2.6272876294700263,NA,7.013000000000005,63.411,8.467000000000002,-2.2825101972981305,35 evolved
WT_CASP_1,15.24202454493892,36.9,-9.365,44.077,0.452672591536519,2.761839549983168,NA,7.177,53.442,7.403000000000002,-2.309166958446649,Caspofungin evolved
35_C7,14.024884798909577,37.088,-16.871000000000002,44.419,0.3575660875888592,2.367053343591215,NA,7.330999999999996,61.29,8.326,-2.009487256002356,35 evolved
35_G5,13.817364806365726,37.284,-20.63,43.457,0.34590507964792566,2.980430466246156,NA,6.173000000000002,64.087,8.314999999999998,-2.6345253865982303,35 evolved
40_B2,12.747006994604781,37.059,-16.570999999999998,45.455,0.40991225235733264,1.7232268945627527,NA,8.396,62.025999999999996,8.727000000000004,-1.31331464220542,40 evolved
40_E7,14.172612775698036,39.19,-Inf,42.725,0.292041227491604,10.794046754645192,NA,3.5350000000000037,Inf,8.236999999999995,-10.502005527153589,40 evolved
40_C7,12.999831925308566,37.308,-23.18,44.067,0.3091004778478882,2.427607252318826,NA,6.759,67.247,8.874000000000002,-2.1185067744709376,40 evolved
35_C9,14.343441634643419,38.354,-Inf,42.82,0.3054182432733159,10.260870461979357,NA,4.466000000000001,Inf,8.265,-9.955452218706041,35 evolved
35_F4,13.97509370022924,36.846000000000004,-15.656,44.379000000000005,0.35232223099041454,2.551971997239374,NA,7.533000000000001,60.035000000000004,8.252000000000002,-2.19964976624896,35 evolved
35_D4,13.950136027007861,37.181,-19.375999999999998,43.713,0.343547381796591,2.81992791399059,NA,6.532000000000004,63.089,8.293,-2.4763805321939993,35 evolved
40_D8,13.304028756064136,38.615,-Inf,42.966,0.27103049119462524,9.067706324744186,NA,4.350999999999999,Inf,9.131,-8.79667583354956,40 evolved
40_F2,12.87795399320757,37.646,-Inf,44.542,0.3164995725478497,1.8918777335895929,NA,6.896000000000001,Inf,9.451999999999998,-1.5753781610417432,40 evolved
35_F2,14.583906081815144,38.703,-Inf,42.818,0.3068647116029142,10.03413955379835,NA,4.114999999999995,Inf,8.188000000000002,-9.727274842195436,35 evolved
40_D4,13.514866934678247,37.623000000000005,-22.651,44.635000000000005,0.3131221981110524,1.883460414027321,NA,7.0120000000000005,67.286,8.987000000000002,-1.5703382159162687,40 evolved
40_B8,12.369763861925856,38.084,-Inf,43.977000000000004,0.25515639807081697,5.601530083633102,NA,5.893000000000001,Inf,9.821000000000005,-5.346373685562285,40 evolved
35_C5,14.123659324694694,38.038,-22.87,43.682,0.31291688332769274,6.654350292551931,NA,5.6440000000000055,66.552,8.387000000000004,-6.341433409224239,35 evolved
40_C9,14.04734428583052,38.229,-22.843,43.614000000000004,0.3167691544796915,6.843879774549166,NA,5.385000000000005,66.45700000000001,8.318000000000005,-6.527110620069475,40 evolved
WT_CASP_3,16.24207568791095,36.897999999999996,-6.9830000000000005,43.717,0.5300852382738817,3.132891673489684,NA,6.819000000000003,50.7,6.997000000000007,-2.6028064352158022,Caspofungin evolved
35_E7,14.577228650185397,38.629,-22.236,42.625,0.32998444377155667,11.155437107536521,NA,3.996000000000002,64.861,7.766999999999996,-10.825452663764965,35 evolved
35_G9,13.883701042131449,37.747,-24.427,43.06,0.34197336716221327,3.0636900813825263,NA,5.313000000000002,67.487,8.430000000000003,-2.721716714220313,35 evolved
35_B6,13.982115786144933,36.981,-17.753,43.567,0.35651573058287567,2.9941054439736248,NA,6.5859999999999985,61.32,8.094999999999999,-2.6375897133907493,35 evolved
35_F6,14.132716777481308,37.567,-21.212,43.120999999999995,0.3728118692870687,3.151784641648802,NA,5.553999999999995,64.333,8.230000000000004,-2.7789727723617332,35 evolved
40_F4,12.533179342227648,38.047,-Inf,44.358000000000004,0.26997842610568124,4.8807948762524624,NA,6.311000000000007,Inf,9.561999999999998,-4.610816450146781,40 evolved
