curve_id,AIC_sharp,AIC_thomas,AIC_briere,AIC_lactin,best_model
WT_FLZ_2,19.278208777884746,39.00243629726626,41.81772405583507,NA,sharpeschoolhigh_1981
35_G11,41.1993673336865,47.06169481345939,48.446913358183956,NA,sharpeschoolhigh_1981
fRS585,34.766572840438755,77.59577814736838,74.21880668346309,NA,sharpeschoolhigh_1981
WT_CASP_2,21.252218397777504,37.46516069829629,22.115215417747457,NA,sharpeschoolhigh_1981
40_D2,17.40370823546067,33.15536472956911,32.186362966726534,NA,sharpeschoolhigh_1981
40_G9,25.269688233797083,32.426253684458274,26.6601715272678,NA,sharpeschoolhigh_1981
35_B8,34.415499446347994,44.93088425695979,46.90408116059759,NA,sharpeschoolhigh_1981
WT_CASP_1,30.306832335589213,45.76958351201572,47.26648301270504,NA,sharpeschoolhigh_1981
35_G5,18.375463558653422,41.8810297818996,44.96245256956629,NA,sharpeschoolhigh_1981
40_C7,-14.39452953125194,25.14468447014658,17.45818214742182,NA,sharpeschoolhigh_1981
35_F4,43.665280055321894,52.68623650740362,53.62268893988319,NA,sharpeschoolhigh_1981
35_D4,14.108874334978687,36.68831970633643,39.79328956192174,NA,sharpeschoolhigh_1981
40_F2,20.648269786343693,36.64124857863793,22.795709184959172,NA,sharpeschoolhigh_1981
40_D4,29.074501016890395,36.13807530424967,34.06228466080573,NA,sharpeschoolhigh_1981
40_B8,18.36838030099887,32.28780306202373,10.165916681637546,NA,briere2_1999
35_B6,21.171218820561297,41.408280975033456,43.59655057376962,NA,sharpeschoolhigh_1981
35_D8,31.56108331397657,42.59414695485462,42.28544207331312,NA,sharpeschoolhigh_1981
35_E9,14.745902284062279,36.76001120733082,39.442021519703204,NA,sharpeschoolhigh_1981
40_E9,2.7395355587521895,39.50266492902627,15.47513947452422,NA,sharpeschoolhigh_1981
40_G11,39.85376099398878,41.37473012447656,38.22960835313147,NA,briere2_1999
40_E11,6.162817026390348,38.89242802140207,12.76098520269899,NA,sharpeschoolhigh_1981
35_B2,16.477421968338255,34.88653024384311,32.65598718837936,NA,sharpeschoolhigh_1981
35_C7,34.22606464031337,43.0291449518821,44.41074345742785,NA,sharpeschoolhigh_1981
40_B2,22.652709428074758,27.915558069190475,21.422230066105385,NA,briere2_1999
40_C9,7.939211091326309,38.93213580324233,18.609656554497388,NA,sharpeschoolhigh_1981
35_G9,-16.861476939159473,36.159554676262765,39.3505518098208,NA,sharpeschoolhigh_1981
35_F6,-2.163557316256245,37.60144905225398,39.940548287038354,NA,sharpeschoolhigh_1981
40_F4,19.56206427181187,38.952841013511296,24.684945651891326,NA,sharpeschoolhigh_1981
40_F6,21.187246828424637,50.762325134225925,10.423493858106463,NA,briere2_1999
40_G5,19.544515813477574,38.04189071147045,21.931641365907502,NA,sharpeschoolhigh_1981
40_B6,2.9038941988680733,49.094774839950155,11.649800731485218,NA,sharpeschoolhigh_1981
35_E11,23.40453302351996,34.5930096734518,28.633092540096587,NA,sharpeschoolhigh_1981
35_D2,15.240766281205723,34.37918757545444,33.01157541821231,NA,sharpeschoolhigh_1981
WT_FLZ_1,18.996152257907497,40.755510064061,43.711264414079594,NA,sharpeschoolhigh_1981
40_C5,4.088622829520258,47.45327905306935,15.711230076941467,NA,sharpeschoolhigh_1981
40_E7,13.021700671426586,48.699979204282755,7.241723016989309,NA,briere2_1999
35_C9,27.47390774087137,40.24081937853474,33.14323532000134,NA,sharpeschoolhigh_1981
40_D8,0.46997506536173006,40.79751005114346,9.46279547410974,NA,sharpeschoolhigh_1981
35_F2,17.558399314149362,38.354320932040906,30.29783018738653,NA,sharpeschoolhigh_1981
35_C5,34.73470799638473,40.44165824053168,42.02207672725438,NA,sharpeschoolhigh_1981
WT_CASP_3,33.445001536463245,39.17588932377099,29.473044247218027,NA,briere2_1999
35_E7,35.992240373567896,39.6024190273251,36.763716667627534,NA,sharpeschoolhigh_1981
