temp,growth rate
18.0000000,0.1003318
18.0000000,0.0994726
18.0000000,0.0994916
18.0000000,0.0989611
18.0000000,0.1018986
18.0000000,0.0979968
18.0000000,0.0976442
18.0000000,0.1009986
25.3674200,6.978653 
25.3674200,7.13187 
25.3674200,5.427084 
25.3674200,7.139992 
25.3674200,7.023783 
25.3674200,7.258182 
25.3674200,7.156545 
25.3674200,7.0355240
34.1359600,8.8879840
34.1359600,9.1432890
34.1359600,8.8955750
34.1359600,9.0471590
34.1359600,9.0021680
34.1359600,8.9892320
34.1359600,10.6799500
34.1359600,8.9228000
34.1359600,8.9139230
34.1359600,9.0081030
34.1359600,8.7893570
34.1359600,8.7185350
37.3104200,8.051096 
37.3104200,8.119615 
37.3104200,11.44259 
37.3104200,10.72757 
37.3104200,10.68343 
37.3104200,11.225 
37.3104200,10.61753 
37.3104200,8.0467930
40.1168500,10.1872900
40.1168500,7.4639650
40.1168500,9.7239990
40.1168500,5.4158990
40.1168500,10.5460800
40.1168500,7.5910470
40.1168500,10.4361200
40.1168500,10.6399700
40.5354200,6.7881 
40.5354200,6.373724 
40.5354200,3.125253 
40.5354200,3.972342 
40.5354200,3.28597 
40.5354200,6.06593 
40.5354200,7.904557 
40.5354200,8.5736970
41.1809000,1.2487180
41.1809000,8.7624300
41.1809000,0.7634547
41.1809000,0.5987903
41.1809000,0.4896916
41.1809000,0.4827641
41.1809000,0.4814375
41.1809000,0.5088377
41.1809000,0.8619480
41.1809000,1.1781880
41.1809000,1.0753910
41.1809000,1.5832670
40.9808300,2.772583 
40.9808300,2.677185 
40.9808300,2.568138 
40.9808300,2.593191 
40.9808300,1.970546 
40.9808300,2.75412 
40.9808300,2.607848 
40.9808300,2.4336830
42.0597300,
42.0597300,
42.0597300,
42.0597300,
42.0597300,
42.0597300,
42.0597300,
42.0597300,
